(2, 11, '2017-07-02 16:00', 102, 2, 0, 162, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 11, '2017-07-02 16:00', 72, 1, 0, 52, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 11, '2017-07-02 16:00', 12, 3, 1, 92, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 11, '2017-07-02 16:00', 172, 1, 0, 22, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 11, '2017-07-02 16:00', 192, 0, 0, 42, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 11, '2017-07-02 19:00', 82, 2, 2, 182, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 11, '2017-07-02 19:00', 32, 0, 0, 142, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 11, '2017-07-03 20:00', 112, 3, 3, 62, '2017-07-30 13:22:54', '2017-07-30 13:22:54'), 
(2, 12, '2017-07-08 16:00', 2, 1, 2, 192, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-08 18:00', 182, 0, 1, 102, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-08 19:00', 72, 2, 0, 142, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-09 11:00', 62, 1, 1, 22, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-09 16:00', 92, 3, 1, 132, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-09 16:00', 122, 0, 2, 32, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-09 16:00', 42, 1, 1, 112, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-09 19:00', 52, 1, 1, 12, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-09 19:00', 152, 3, 2, 162, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 12, '2017-07-10 20:00', 82, 0, 3, 172, '2017-07-30 13:22:55', '2017-07-30 13:22:55'), 
(2, 13, '2017-07-12 19:30', 12, 0, 1, 152, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-12 19:30', 142, 0, 3, 42, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-12 21:00', 112, 0, 1, 52, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-12 21:45', 132, 0, 2, 72, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-12 21:45', 22, 0, 2, 92, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-12 21:45', 192, 1, 4, 182, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-13 19:30', 102, 0, 1, 122, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-13 19:30', 162, 2, 2, 2, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-13 19:30', 172, 3, 0, 62, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 13, '2017-07-13 21:00', 32, 1, 4, 82, '2017-07-30 13:22:56', '2017-07-30 13:22:56'), 
(2, 14, '2017-07-15 19:00', 72, 2, 2, 22, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 14, '2017-07-16 11:00', 132, 4, 2, 192, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 14, '2017-07-16 16:00', 182, 0, 0, 152, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 14, '2017-07-16 16:00', 92, 1, 1, 102, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
